dep,rms_sr,rms_sir,ratio,winner,r,max_variance,variance_peak_day,epidemic_peak_day,delay_variance,A,tau,T,max_deaths
36,0.32498719894428346,0.6271255061689451,1.929692948541216,SR,0.9296929485412161,0.7799955146893927,39,33,-6,2.065494915544458,27.212927126168204,9.787898323311301,2.7142857142857144
37,0.380746361248283,0.6287190873880902,1.651280619798505,SR,0.651280619798505,0.7055393586005831,13,16,3,2.124390376492293,25.31240338421668,9.127509638746707,2.5714285714285716
38,0.5075508983412533,1.0001953970545057,1.970630729495865,SR,0.970630729495865,1.2416461089930484,41,34,-7,3.4468781280548084,30.922790756233265,10.990064876687823,4.571428571428571
39,0.3667647564567135,0.5945634862897745,1.6211031071627688,SR,0.621103107162769,0.8912312177618298,13,19,6,1.8893822533237656,23.65130716739571,7.249847369855026,2.7142857142857144
40,0.09158980738974984,0.2482413507633578,2.7103600044379985,SR,1.7103600044379985,0.2408611796366899,26,22,-4,1.211649115369453,20.7228772728052,2.032207470599281,1.2857142857142858
41,0.2401949980671466,0.49552545822618266,2.0630132276428936,SR,1.0630132276428934,0.2970396949988787,10,30,20,1.4642048558120295,30.814895270223612,11.75214801982569,1.8571428571428572
42,0.7998841950395145,1.4107817949244736,1.7637325548791232,SR,0.7637325548791231,5.178851760484415,7,13,6,5.293165448571372,24.64212552045975,12.612656678092032,7.0
44,0.5785795807673548,1.0103529168927419,1.7462643869193197,SR,0.7462643869193196,2.8472751738057864,7,13,6,3.7172131074875794,24.67947930569312,10.927966489096493,4.428571428571429
45,0.3251513222434728,0.6281531323298045,1.9318793723355812,SR,0.931879372335581,0.6620318457053151,8,25,17,2.1992703058391654,27.064901452167526,11.953783685454692,2.857142857142857
46,0.2149773654774715,0.3565456825092756,1.6585266161271275,SR,0.6585266161271276,0.3091500336398296,37,48,11,1.1081880283673071,31.872999285505117,4.214034947485026,1.4285714285714286
49,0.5407639236590819,0.8898447886383481,1.6455328281095543,SR,0.6455328281095544,1.0972191074231903,12,18,6,2.898633070382858,27.39812056057868,12.886152995845235,4.142857142857143
50,0.16047709762987641,0.3622894636886362,2.2575773679819338,SR,1.2575773679819335,0.17537564476339987,7,25,18,1.2822106864534728,24.32149135238053,9.727283100467869,1.7142857142857142
51,0.7697092095032146,1.8901944829449613,2.455725434498737,SR,1.455725434498737,4.9881139268894366,8,22,14,7.566978597306804,22.856833770527793,8.33502154518518,9.571428571428571
52,0.5936508773171105,0.7203632068283132,1.2134458725705155,SR,0.2134458725705155,2.191522762951335,13,18,5,3.217027413340127,19.003560060503208,3.6087157822066667,4.142857142857143
53,0.24547461560680822,0.3292661060212424,1.3413448278849662,SR,0.3413448278849662,0.2821260372280784,33,26,-7,0.9109933613157682,25.901475603152626,13.555265538891806,1.5714285714285714
