departement,population,max_deaths,rms_sr,rms_sir,ratio,winner,n_modes_sr,gamma,t_c_gamma,R2_gamma
01,666666.6666666666,3.2857142857142856,0.16741141000009327,0.38334870912192337,2.2898601064390403,SR,4,1.9458828183388008,53,0.5878676522192916
03,666666.6666666666,1.4285714285714286,0.08554667170249798,0.24194456134261058,2.828217118533973,SR,4,0.42649001586350593,77,0.5192760300424948
07,666666.6666666666,2.7142857142857144,0.16199106677826494,0.4242303477417564,2.618850262418775,SR,4,2.2560691430172666,51,0.6363091882204747
26,666666.6666666666,5.142857142857143,0.16849681927105137,0.45217267170648007,2.6835679964919414,SR,4,2.337973769676435,48,0.5925240225508669
38,666666.6666666666,4.571428571428571,0.16624681900212807,0.4600064429691939,2.767008991391923,SR,4,0.1547899891547971,83,0.0518646061306176
42,666666.6666666666,7.142857142857143,0.24692850279516018,0.7554281450784142,3.0592990947872893,SR,4,2.184036000795762,50,0.6550595879819479
63,666666.6666666666,2.142857142857143,0.07686077086008765,0.37025945504711905,4.817274806170176,SR,4,2.35855821869545,56,0.7111721503425518
69,666666.6666666666,17.428571428571427,0.5867931336244748,0.7691329370177815,1.3107394973541002,SR,4,1.5946607869740501,47,0.7104385606907672
73,666666.6666666666,2.142857142857143,0.13946194329369285,0.3763975523000771,2.6989266276565615,SR,4,2.234142438876496,51,0.7802931954715836
74,666666.6666666666,5.428571428571429,0.2330912273156028,0.5078375440508863,2.178707237931697,SR,4,2.3844882472869715,50,0.6052675420575717
21,350000.0,7.714285714285714,0.44267530707531155,0.6777479639830265,1.5310272634378552,SR,4,0.3204252592479327,81,0.17791384052229997
25,350000.0,3.5714285714285716,0.2838121239552216,0.41660364255081206,1.4678852923722936,SR,4,1.6538692136512279,48,0.5463956810677628
39,350000.0,2.7142857142857144,0.1082233756420475,0.33493345643425826,3.0948346828698274,SR,4,2.563605923652302,54,0.6942237815877759
58,350000.0,1.4285714285714286,0.07568934787687921,0.24584448372882026,3.248072425313077,SR,4,0.42278643676037886,82,0.811347106715026
70,350000.0,4.428571428571429,0.12506676923369625,0.42946166106488187,3.433859079404233,SR,4,1.8303712725762773,50,0.7299365129605405
71,350000.0,5.428571428571429,0.25080545878220056,0.5305615306767354,2.1154305542347664,SR,4,2.0479287700382307,47,0.5716866376461672
89,350000.0,2.4285714285714284,0.18757469766738893,0.25728716540699254,1.3716517665043453,SR,4,1.5973653510327366,58,0.8153458447010398
90,350000.0,5.857142857142857,0.31385071703448364,0.6605355044504343,2.1046168404256327,SR,4,1.656457133939403,45,0.5239701385734746
22,825000.0,1.4285714285714286,0.10908866332848499,0.3114963006905253,2.855441538893511,SR,4,2.0268594524904886,55,0.7586967571420752
29,825000.0,2.4285714285714284,0.07568266167065686,0.41568845305746394,5.492518945308602,SR,4,0.8190904805828234,80,0.3905095601646488
35,825000.0,3.142857142857143,0.1367318867049015,0.45868808919392884,3.354653404175443,SR,4,2.2387754205427344,57,0.6960874727099097
